City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Khandbari,NP,2022-01-23 21:00:34,27.3747,87.2039,45.16,74,31,4.63
129,Iqaluit,CA,2022-01-23 20:58:38,63.7506,-68.5145,-7.87,59,100,5.75
130,Bengkulu,ID,2022-01-23 21:00:35,-3.8004,102.2655,74.98,90,70,3.6
131,Bud,US,2022-01-23 21:00:35,39.447,-86.1758,30.22,64,100,13.78
132,Monywa,MM,2022-01-23 21:00:35,22.1167,95.1333,62.65,59,8,5.3
133,Taksimo,RU,2022-01-23 21:01:36,56.3444,114.8794,-18.4,96,82,0.81
134,Poum,NC,2022-01-23 21:01:36,-20.2333,164.0167,80.67,68,96,11.74
135,Clyde River,CA,2022-01-23 21:01:37,70.4692,-68.5914,-13.54,97,100,10.87
136,Hofn,IS,2022-01-23 21:01:37,64.2539,-15.2082,33.64,53,7,13.02
137,Ilulissat,GL,2022-01-23 20:57:06,69.2167,-51.1,3.49,82,100,5.59
138,Canico,PT,2022-01-23 21:01:38,32.6333,-16.85,65.71,85,40,6.91
139,Vikravandi,IN,2022-01-23 21:01:38,12.0333,79.55,72.12,79,11,6.2
140,Cidreira,BR,2022-01-23 21:01:38,-30.1811,-50.2056,81.03,78,43,13.27
141,Hambantota,LK,2022-01-23 21:01:39,6.1241,81.1185,73.53,82,100,4.0
142,Ahipara,NZ,2022-01-23 21:01:39,-35.1667,173.1667,68.52,87,100,11.48
143,Grand Gaube,MU,2022-01-23 21:01:40,-20.0064,57.6608,79.2,85,70,1.99
144,Clarence Town,AU,2022-01-23 21:01:40,-32.5833,151.7833,71.85,88,93,1.23
145,Samarai,PG,2022-01-23 20:59:46,-10.6167,150.6667,82.44,78,72,10.8
146,Bluff,NZ,2022-01-23 21:01:41,-46.6,168.3333,55.8,61,87,2.91
147,East London,ZA,2022-01-23 20:58:12,-33.0153,27.9116,74.08,75,0,22.17
148,Touros,BR,2022-01-23 20:58:51,-5.1989,-35.4608,85.1,73,7,10.27
149,Coahuayana,MX,2022-01-23 21:01:42,18.7333,-103.6833,86.67,40,89,7.16
150,Rosa Zarate,EC,2022-01-23 21:01:42,0.3333,-79.4667,80.8,83,62,5.77
151,Pahrump,US,2022-01-23 20:58:37,36.2083,-115.9839,61.32,20,0,3.0
152,Half Moon Bay,US,2022-01-23 21:01:43,37.4636,-122.4286,67.15,49,0,1.99
153,Te Anau,NZ,2022-01-23 21:01:43,-45.4167,167.7167,51.8,75,84,0.92
154,Beira,MZ,2022-01-23 21:01:43,-19.8436,34.8389,76.78,93,100,14.09
155,Bani,DO,2022-01-23 20:58:29,18.2833,-70.3333,85.44,65,3,10.87
156,Jalingo,NG,2022-01-23 21:01:44,8.8833,11.3667,75.6,20,0,4.56
